	3989	4069	4072	4261	4266	4267	4604	4606	4607	4613	4833	4836	4841	4845	4847	4951	4953	4955	4957	4958	4959	4962	4967	4969	4970	4971	4975	4976	4977	4981	4982	4983	4985	5928	5930	5932	5934	5936	5937	5942	5945	5946	5947	5948	5950	5956	5959	5960	5961	5964	6016	6041	6042	6043	6046	6406	6409	6411	6413	6417	6418	6422	6466	6684	6719	6720	6721	6722	6727	6728	6729	6730	6731	6732	6733	7199	7201	7206	7211	7214	7215	7217	7218	7219	7220	7221	7238	7240	7248	7249	7250	7316	7321	7426	7428	8609	8611	8612	8614	8615	8618	8620	8622	8623	8652	8660	8828	8830	8832	8965	8977	8978	8979	8980	8981	8982	8984	9000	9001	9002	9004	9063	9064	9065	9067	9464	9539	9541	9544	9567	9568	9569	9570	9571	9572	9573	9574	9575	9578	9579	9582	9584	9585	9589	9592	9593	9597	9599	9606	9754	9755	9759	9761	9842	9844	9845	9847	10010	10011	10014	11326	11327	11336	11337	11338	11339	11340	11341	11342	11352	11355	11357	11359	11360	11361	11364	11365	11366	11367	11368	11369	11370	11372	11374	11375	11380	11381	11383	11384	11385	11386	11389	11391	11393	11394	11396	11397	11399	11402	11743	11744	11745	11750	11751	11756	11760	11762	11818	11819	13296	13297	13298	13299	13302	13304	13306	13307	13310	13311	13312	13416	13418	13419	13420	13422	13424	13426	13427	13428	13619	13622	13623	13625	13626	13629	13631	13752	13754	13755	13761	13766	13768	13770	13771	14432	14435	14437	14439	14441	14442	14460	14461	18017	18020	18022	18024	18031	18037	18259	18730	18734	18748	18749	18751	18754	18775
1C	2	1	0	0	0	4	3	0	1	1	0	2	1	7	0	2	1	0	0	3	0	3	3	0	0	0	6	17	58	1	0	0	0	0	0	3	0	0	0	7	0	3	0	0	1	2	3	2	1	0	1	0	0	0	4	4	2	0	0	1	2	3	0	22	0	0	1	2	5	2	6	1	1	0	1	3	0	0	0	1	4	0	1	5	3	7	2	12	4	2	3	0	0	13	8	5	5	0	0	1	0	0	0	0	0	99	1	16	39	5	9	2	1	9	2	29	2	5	4	6	1	39	3	2	2	3	5	0	4	4	68	2	1	6	2	0	1	0	1	0	1	2	6	1	0	0	4	5	2	0	0	0	0	1	0	0	0	1	6	3	5	1	2	11	2	1	3	3	4	3	5	14	2	10	0	2	3	0	1	3	5	0	2	2	2	0	0	0	1	1	1	0	1	7	3	2	5	3	6	1	2	0	1	35	2	17	2	2	0	34	1	2	6	23	2	0	2	0	0	6	1	6	1	2	0	5	3	0	2	0	4	9	2	1	1	1	1	0	1	2	2	2	4	1	2	3	1	0	5	2	5	2	3	10	3	22	3	14	0	1	7	0	3	2	2	0
1D	658	984	0	256	220	760	476	256	0	223	306	422	491	423	890	186	336	213	226	0	341	197	389	145	427	950	449	1431	786	594	425	248	286	430	249	418	543	460	0	923	363	1358	516	638	963	468	333	213	753	264	390	289	268	0	850	241	330	280	242	759	319	542	278	536	402	322	672	177	1408	324	630	500	315	306	697	471	398	483	482	202	285	496	551	240	846	869	513	729	583	422	416	313	367	534	620	477	322	674	203	439	299	214	210	261	825	1492	364	869	653	358	2216	544	495	706	470	855	527	413	390	565	437	359	632	453	423	465	2363	1383	356	687	1235	344	544	404	393	714	485	468	161	228	1076	410	572	296	438	276	484	965	409	596	387	491	925	404	61	320	268	367	484	0	163	0	1207	559	633	1128	577	390	525	565	447	824	510	732	716	478	0	439	714	1237	2013	190	446	413	865	504	262	353	413	390	682	246	147	1559	1736	605	1378	1428	416	457	304	390	366	757	452	1534	249	258	244	927	0	945	298	1017	705	455	716	517	225	270	539	1475	173	584	659	1363	480	204	440	354	1355	311	1568	198	464	328	414	365	296	207	288	294	474	0	243	884	600	293	331	242	833	267	268	680	560	489	458	3228	630	287	1026	1058	227	805	724	301
2C	9	6	1259	1	20	25	87	4	1570	36	2	6	22	1	22	13	16	14	69	36	1	104	47	4	6	23	9	11	3821	1	0	1	11	13	2	10	18	21	4435	48	6	45	98	6	1	32	233	10	1	9	19	4	60	712	26	4	4	4	4	5	2	159	3	20	24	6	40	79	95	5	23	9	161	16	119	6	3	59	34	0	35	74	1	480	19	9	13	17	17	66	8	2	5	46	16	90	9	13	13	19	0	68	1	5	38	294	23	21	13	24	31	17	163	314	77	116	12	47	12	45	74	4444	13	5	0	46	15	4	2	26	164	4	3	23	11	0	3	13	1	5	94	11	46	0	4	6	49	97	0	10	15	14	12	3	0	15	3	71	19	23	31	27	51	21	0	12	194	14	36	1	7	10	3	15	3	6	6	5	15	145	184	0	732	7	1	3	1	5	2	3	18	1	2	21	3	1	50	101	29	3	6	26	14	57	14	10	0	10	0	28	15	42	54	13	1	3	74	0	2	3	1	105	6	4	4	28	6	1	16	4	6	51	118	3	3	14	9	0	2	1	37	1	1	79	0	76	31	0	5	3	147	4	17	54	4	2	24	26	31	41	50	25	132	6	27	4
2D	359	144	12675	35	829	173	379	0	14152	609	0	208	270	0	210	55	296	338	195	697	87	1589	568	54	133	135	121	284	18780	0	70	42	54	323	0	221	0	200	23294	273	0	190	122	0	0	188	114	185	284	90	361	78	615	5953	140	0	0	0	339	36	106	310	158	0	0	117	129	2511	407	117	85	0	1350	173	450	28	132	0	0	138	1104	645	70	4136	444	376	388	100	0	795	0	0	0	0	0	2024	0	209	73	675	84	642	104	314	0	2729	371	0	0	528	88	0	205	724	87	675	0	513	63	391	253	25570	534	340	215	418	77	377	112	236	1647	42	307	79	139	32	68	0	0	84	124	145	0	192	0	37	1244	168	56	47	109	182	154	0	0	263	0	0	0	0	172	0	795	299	0	53	314	217	688	470	75	76	158	146	98	116	0	242	291	1439	722	0	4273	0	55	275	130	0	143	95	569	0	0	187	0	128	283	237	144	159	0	244	0	913	257	225	204	0	0	0	0	184	702	378	28	389	1891	83	0	0	87	1144	69	0	100	180	206	0	0	106	79	1465	541	22	393	195	148	0	99	0	1607	60	126	922	0	211	219	98	205	82	1772	0	111	410	112	0	162	329	565	419	156	693	1083	91	644	81
3C	0	0	16	1	14	5	173	0	0	1	133	57	29	27	19	4	66	49	19	96	17	49	36	4	28	13	109	43	25	0	0	2	17	25	32	157	99	6	0	77	90	8	3	416	1	10	9	29	6	20	3	3	2	114	7	35	186	36	33	4	1	53	2	478	25	9	7	31	86	6	9	121	24	3	19	3	2	18	108	10	28	124	2	24	4	0	4	96	180	31	210	62	47	449	372	28	86	13	5	10	4	5	29	28	344	914	1	40	1766	28	17	100	37	152	8	707	129	256	10	91	132	1	118	9	3	39	7	13	1	41	1468	2	0	45	12	6	5	18	0	11	12	13	63	2	124	9	3	9	5	13	4	5	1	32	2	43	5	19	108	179	139	335	75	10	9	4	38	7	21	2	3	9	5	13	3	3	1	24	90	11	31	0	22	4	3	2	3	3	1	1	3	1	4	22	5	7	22	5	20	13	6	9	241	449	3	7	0	4	0	660	268	77	158	5	1	3	23	7	25	30	1	51	1	5	7	9	11	2	25	3	4	9	8	1	5	4	36	9	3	3	2	2	11	273	5	18	52	1	15	14	6	7	12	406	8	341	1	14	56	9	27	7	1	4	1	9
3D	0	0	7	0	12	4	3062	1	0	0	5277	1058	1519	901	0	689	3024	1087	402	963	1245	13	46	3	2	219	6364	11	6	0	0	0	2	3329	3091	6365	9890	0	0	2260	6925	4	0	12942	0	0	0	487	0	8	4	0	758	2531	0	4415	5532	5447	2459	5	0	0	0	9386	3803	4	1	1870	3055	1521	2183	8937	1587	78	105	1	0	8	5475	0	860	5455	0	3	1	2	0	1193	9881	4	7159	4689	4238	11215	13034	2	4889	0	3	882	0	2	2	3	12445	13945	1	6986	22554	6	5	4300	3	5003	4	12615	7080	4843	0	16	7704	0	5566	0	1	3	4	3	0	4	21217	1	2	1590	5	0	23	15	2	2	482	4	3355	2	7425	0	5	0	2	0	0	0	0	0	0	0	4	670	4285	2371	3538	7519	300	5	31	2	8	2	3	5	0	0	5	4	1	0	0	0	1685	0	14	23	7	3	0	6	0	0	2	1	4	0	0	0	10	0	3	7	0	223	0	26	6335	12443	0	0	0	1	31	14295	3934	1564	4762	0	3	2	5	2	4051	0	0	1147	0	53	12	201	0	0	0	5	212	3	0	1	0	0	0	7	0	0	0	0	5	5710	0	0	7	0	734	0	0	0	3	9446	191	9563	42	6	1411	0	0	4	0	1	0	0
5C	1	5	29	0	0	6	4	1	10	0	2	0	15	0	155	9	0	24	13	4	49	6	0	0	24	0	0	24	12	2	0	4	3	40	10	3	19	0	2	7	9	41	1	250	2	21	27	25	0	16	0	3	1	0	0	10	32	13	0	5	5	55	0	24	0	13	12	33	18	1	35	0	21	21	54	1	2	18	0	1	0	21	0	35	3	0	8	98	87	41	0	0	0	0	9	10	0	13	5	21	1	2	0	0	64	282	1	11	0	31	4	163	16	1	6	111	82	10	10	74	1	14	4	0	6	8	3	13	0	0	7	8	1	0	5	3	0	48	8	3	12	10	2	0	0	13	3	26	5	1	2	7	2	12	0	0	2	0	655	25	0	2	0	9	7	13	40	5	17	0	2	25	3	9	5	6	380	2	0	29	84	0	27	7	0	12	2	0	2	2	3	5	12	1	5	0	0	27	16	1	10	13	0	0	7	19	2	0	0	4	8	46	1	70	0	6	15	11	0	0	0	59	0	12	4	13	34	0	12	2	26	4	10	2	0	0	2	21	0	0	5	0	6	46	1	41	5	0	0	28	6	17	6	0	2	0	2	29	56	4	9	0	9	0	0	0
5D	849	443	0	1430	884	396	1133	750	31	675	0	1799	2148	1516	6438	562	1557	796	860	2656	460	435	1026	699	1577	374	29	3234	122	313	895	1407	1533	0	0	498	0	1787	0	1906	0	1322	304	0	743	0	1557	1210	511	381	783	1340	1916	0	649	0	0	0	0	653	1431	2619	1250	0	8	1434	942	310	554	121	1750	0	676	1877	2303	396	1019	2410	0	1057	638	788	465	835	1117	473	1016	2632	485	1307	0	0	105	0	0	1043	493	309	1001	863	1045	719	1304	1309	0	2759	942	23	0	2107	1259	657	2533	244	434	0	0	361	2118	4370	191	0	367	697	586	1337	130	493	612	1310	0	1608	231	2367	2097	633	613	4928	819	1027	0	1933	584	661	0	1095	238	1595	662	645	794	1202	448	2485	252	2286	1860	926	1914	2995	432	0	595	776	1372	984	1513	388	1388	1405	495	2031	1626	1742	415	1349	3434	2175	2369	1914	1135	1049	1068	1381	521	1826	1638	1672	1042	765	1503	1071	974	655	190	879	837	1041	1915	1450	1387	571	0	0	826	697	1077	979	1354	0	468	2586	129	2378	367	587	693	1049	90	1629	821	628	782	725	494	402	1702	876	2636	1551	812	1450	0	730	700	1519	1016	1918	1301	1021	636	956	731	0	1124	1435	1943	752	1061	1013	540	1064	1526	0	198	0	1539	1597	0	595	533	742	1154	371	619	472
6C	3	4	1	0	1	0	9	0	0	0	0	0	1	0	0	3	0	11	2	0	1	5	3	1	2	6	12	28	0	6	0	0	0	5	8	0	5	1	1733	19	17	5	1	4	0	0	10	4	0	2	0	1	0	0	4	4	0	7	6	3	0	0	2	4	0	0	0	8	6	3	0	0	0	2	1	2	1	2	0	4	0	4	0	0	3	1	7	4	8	0	0	3	1	0	5	4	4	0	0	1	1	0	5	0	15	11	1	4	25	0	8	2	1	1	1	1	0	6	1	0	0	0	0	1	2	0	14	0	2	2	1	0	0	2	3	2	1	1	1	0	6	2	7	1	4	1	3	0	0	2	7	2	0	3	2	9	4	1	2	10	7	10	15	4	0	8	7	5	0	0	2	4	3	8	3	2	0	0	6	0	0	1	0	4	5	0	10	0	0	0	1	3	1	10	1	7	4	2	0	0	0	0	3	2	6	1	0	0	1	8	25	6	3	6	2	0	0	0	2	1	2	4	0	0	4	2	4	0	4	2	4	9	21	1	1	1	5	0	1	3	1	2	1	0	0	7	0	1	1	1	5	0	5	11	0	1	2	12	2	1	7	1	1	2	1	0
