	k=7
CYP27C1	4
DEM1	4
FAM134B	1
ZNF716	6
NPM3	4
IL21	4
MRPL12	6
H1F0	3
CCDC56	3
ADCY1	3
PRC1	5
AC010724.7	7
FANCB	5
CCNG2	1
KIF16B	1
TENC1	1
TRGV5	4
TRIP13	5
GNMT	2
TCF7L1	4
ATP1A4	1
THOC5	5
SLMO1	6
TMEM39B	4
C19orf39	3
CMTM5	4
RAD17	1
UBE2E2	4
SLC35B1	6
ADAMDEC1	5
SLC41A1	7
TSPAN13	3
STON1	4
KRT75	4
AGR3	3
ABP1	6
SESN1	2
FAM35A	3
PCYT1B	4
POLQ	5
AC069235.1	4
C12orf48	5
SLC7A11	7
ATF7IP	6
IL1R2	4
RP5-1187M17.10	4
MBOAT4	4
THAP11	7
CROT	3
OCIAD1	1
ZNF214	1
EVL	1
PPYR1	4
TRIM59	7
KCNH6	3
TFAP2B	3
SCGB2A2	3
FOXN2	4
IL17D	4
C15orf41	5
PITPNM3	6
KCNE1L	4
C3orf1	4
SERPI11	1
CIAO1	7
COL4A6	2
UBASH3B	4
OIP5	5
RARA	3
TIAM2	7
AC073878.1	4
ZBED4	6
TMEM91	1
RNF145	4
TMEM179	6
CEACAM6	3
C16orf93	3
MELK	5
ZIC5	5
C20orf95	2
BLVRA	3
SCGB1D2	3
CNGA1	4
BTRC	1
MPP7	2
AC010411.1	4
AC121338.1	4
STARD13	1
CASP5	4
AL589743.2	6
NUDT5	7
PTPRT	1
TMEM184A	3
RFC3	7
TMEM182	4
MCM5	6
EPB41L4A	1
FZD9	5
PCM1	1
CD8B	4
PLEKHB1	4
PIM1	4
SHMT2	6
GPR12	7
ARHGEF9	7
C3orf18	1
ARL9	5
GALNT7	1
C2orf89	4
NOD2	7
ZBTB5	4
POLA2	5
CCDC151	3
GOLM1	2
THUMPD1	2
MAP2K4	1
GJB6	5
KRT2	4
EPHA7	7
ODAM	4
ZFYVE21	2
AL132716.2	1
MMP7	4
ZNF540	1
SNTN	2
SOX8	4
PPARA	4
XAGE2B	4
PGBD5	4
CAC1A	4
TATDN2	4
DMRTA2	4
KIF14	5
CDK8	4
ELF2	3
RP1L1	4
AQP9	5
MFAP1	3
BTNL3	4
C16orf71	1
DNMBP	2
KLHL5	1
C7orf60	4
AC135995.1	7
PAK1IP1	7
KLHL36	7
SYF2	2
OR2H2	7
MSI2	3
ANUBL1	1
ANXA9	1
DZIP1	4
DHRS2	3
ENOX2	7
OGDHL	4
NPM2	7
MMP12	5
VWA2	1
FBL	4
TRBV30	4
DCAF7	6
FBXO5	5
ATP6AP1L	1
ALCAM	1
ANKRA2	1
TNPO2	7
AC008734.2	4
CHST15	3
C6orf161	6
TMEM74	7
RND1	3
FLVCR2	7
FNDC3B	4
NDRG1	5
DUSP16	1
FTMT	5
GABRA3	6
ZMYM2	3
C15orf54	3
IGFBP4	1
SLC6A15	4
LYAR	7
CD151	1
C16orf38	7
UMOD	1
RDH10	4
RBM47	3
KCNS1	5
MCM3	5
STARD7	4
CHRM3	4
KRT83	5
SPC25	5
RSPH3	2
APBA2	7
ZMAT1	3
SHOC2	3
AC126339.4	6
IER3	3
LYPD5	4
THOC3	7
GCNT1	4
IL15RA	4
TMEM169	4
PNPLA2	3
RAET1L	7
DERL1	6
HNRNPH2	1
PCDHGA1	6
V3	1
AL022328.1	3
PRIMA1	6
MED27	7
CYB5R1	1
XK	5
C9orf68	1
PDCD1LG2	4
INCENP	6
TPO	3
TIGIT	4
KIAA0556	3
C1orf61	4
LRRC31	1
P2RY12	1
AMTN	4
STK39	3
CPAMD8	7
HMGA1	7
TMBIM4	3
SLAMF8	4
LANCL2	5
AC008734.1	4
SYT16	4
CRY2	1
CBX2	5
CPEB2	1
ACOT4	1
ACSM5	2
AMACR	2
C5orf49	3
TMEM87A	1
RP1-241P17.4	7
ZP4	4
FOXK2	6
ZNF259	4
RHBDL2	4
GPR81	1
BPI	4
ZCCHC24	2
SIGIRR	3
C11orf41	7
FAM128A	3
EGFR	4
C11orf75	4
FANCG	7
MAMLD1	4
SLAMF1	4
PLA2G7	5
GDF5	4
TNK1	3
ZNF484	2
SCFD2	7
NUP62	6
VGLL1	5
CDKN2D	6
TIMM8A	5
AL929601.1	4
EFHC1	3
UGCG	1
ECT2	6
C6orf112	5
CHST11	4
EXT2	4
NXN	4
FADS6	6
TRIM58	2
CHR7	4
WDYHV1	6
HAUS8	5
CAB39L	1
APOBEC3D	4
CXCL10	4
TMEM231	4
ROBO2	2
NDUFA9	4
SLC44A4	1
GNL3L	6
MPZL1	4
C12orf57	1
FAM83B	7
CCNB1IP1	4
CCDC99	6
ETS1	4
RTP4	4
CCL7	7
AC018552.1	7
C14orf148	1
KIAA1324	1
VAMP4	3
KERA	2
PGPEP1	1
CHST2	4
AC079061.1	1
SLC4A8	3
ADPRHL1	3
ATP2B3	4
PTK2	6
