	k=4	k=5	k=6	k=7	k=8	k=9	k=10	k=11	k=12	k=13	k=14
DEM1	4	5	6	6	7	8	9	10	11	12	13
H1F0	1	1	1	1	2	2	2	2	2	2	2
FANCB	2	2	2	2	3	3	4	4	4	4	5
TRIP13	2	2	2	2	3	3	4	4	4	4	4
C19orf39	1	1	1	1	2	2	2	2	2	2	2
RAD17	1	1	1	1	1	1	1	1	1	1	1
POLQ	2	2	2	2	3	3	3	3	3	3	3
C12orf48	2	2	2	2	3	3	4	4	4	4	5
ATF7IP	3	3	4	4	5	5	6	6	7	7	8
RFC3	3	3	4	4	5	6	7	7	8	9	10
MCM5	4	4	5	5	6	7	8	9	10	11	12
POLA2	4	4	5	5	6	7	8	8	9	10	11
TATDN2	4	5	6	6	7	8	9	10	11	12	13
IGFBP4	1	1	1	1	1	1	1	1	1	1	1
MCM3	2	2	2	2	3	3	4	4	4	4	4
HMGA1	4	4	5	5	6	7	8	9	10	11	12
CRY2	1	1	1	1	1	1	1	1	1	1	1
ZNF259	4	5	6	6	7	8	9	10	11	12	13
FANCG	3	3	4	4	5	6	7	7	8	8	9
CDKN2D	3	3	4	4	5	5	6	6	7	7	8
APOBEC3D	4	5	6	6	7	8	9	10	11	12	13
CCNB1IP1	4	5	6	6	7	8	9	10	11	12	13
GINS3	2	2	2	2	3	3	4	4	4	4	4
CDC25C	3	3	4	4	5	5	6	6	7	7	8
HUWE1	3	3	4	4	5	6	7	7	8	8	9
MCM10	2	2	2	2	3	3	3	3	3	3	3
RAD51AP1	2	2	2	2	3	3	3	3	3	3	3
CDT1	3	3	3	3	4	4	5	5	5	5	6
RECQL4	3	3	4	4	5	5	6	6	7	7	8
MTA2	4	5	6	6	7	8	9	10	11	12	13
POLR2L	1	1	1	1	1	1	1	1	1	1	1
ADRA1D	4	4	5	5	6	7	8	9	10	11	12
TRIM25	3	3	4	4	5	6	7	7	8	8	9
PARP3	1	1	1	1	1	1	1	1	1	1	1
NHEJ1	4	5	6	6	7	8	9	10	11	12	13
SLC30A9	1	1	1	1	2	2	2	2	2	2	2
MCM8	3	3	3	3	4	4	5	5	6	6	7
